Date : 2026-03-20 03:03:11
Directory : e:\Projects\icarus
Total : 347 files,  37981 codes, 2032 comments, 4665 blanks, all 44678 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| e:\Projects\icarus\devtools_options.yaml                                                        | YAML               |          4 |          0 |          0 |          4 |
| e:\Projects\icarus\docs\version.json                                                            | JSON               |         11 |          0 |          0 |         11 |
| e:\Projects\icarus\docs\windows_store_update_testing.md                                         | Markdown           |         25 |          0 |         10 |         35 |
| e:\Projects\icarus\flutter_convex_overview.md                                                   | Markdown           |        379 |          0 |        114 |        493 |
| e:\Projects\icarus\index.ts                                                                     | TypeScript         |          1 |          0 |          0 |          1 |
| e:\Projects\icarus\ios\RunnerTests\RunnerTests.swift                                            | Swift              |          7 |          2 |          4 |         13 |
| e:\Projects\icarus\ios\Runner\AppDelegate.swift                                                 | Swift              |         12 |          0 |          2 |         14 |
| e:\Projects\icarus\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json                  | JSON               |        122 |          0 |          1 |        123 |
| e:\Projects\icarus\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json                | JSON               |         23 |          0 |          1 |         24 |
| e:\Projects\icarus\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md                    | Markdown           |          3 |          0 |          2 |          5 |
| e:\Projects\icarus\ios\Runner\Base.lproj\LaunchScreen.storyboard                                | XML                |         36 |          1 |          1 |         38 |
| e:\Projects\icarus\ios\Runner\Base.lproj\Main.storyboard                                        | XML                |         25 |          1 |          1 |         27 |
| e:\Projects\icarus\ios\Runner\Runner-Bridging-Header.h                                          | C++                |          1 |          0 |          1 |          2 |
| e:\Projects\icarus\lib\collab\collab_models.dart                                                | Dart               |        331 |          0 |         38 |        369 |
| e:\Projects\icarus\lib\collab\convex_payload.dart                                               | Dart               |         31 |          0 |          5 |         36 |
| e:\Projects\icarus\lib\collab\convex_strategy_repository.dart                                   | Dart               |        223 |          0 |         30 |        253 |
| e:\Projects\icarus\lib\const\abilities.dart                                                     | Dart               |        371 |          3 |         43 |        417 |
| e:\Projects\icarus\lib\const\agents.dart                                                        | Dart               |        787 |         27 |        103 |        917 |
| e:\Projects\icarus\lib\const\app_navigator.dart                                                 | Dart               |          2 |          2 |          2 |          6 |
| e:\Projects\icarus\lib\const\bounding_box.dart                                                  | Dart               |         26 |          0 |          9 |         35 |
| e:\Projects\icarus\lib\const\bounding_box.g.dart                                                | Dart               |         12 |          4 |          5 |         21 |
| e:\Projects\icarus\lib\const\color_option.dart                                                  | Dart               |          6 |          0 |          3 |          9 |
| e:\Projects\icarus\lib\const\coordinate_system.dart                                             | Dart               |         77 |          7 |         22 |        106 |
| e:\Projects\icarus\lib\const\custom_icons.dart                                                  | Dart               |         22 |          0 |          4 |         26 |
| e:\Projects\icarus\lib\const\default_placement.dart                                             | Dart               |         27 |          0 |          4 |         31 |
| e:\Projects\icarus\lib\const\drawing_element.dart                                               | Dart               |        235 |          6 |         47 |        288 |
| e:\Projects\icarus\lib\const\drawing_element.g.dart                                             | Dart               |         39 |          4 |          7 |         50 |
| e:\Projects\icarus\lib\const\hive_boxes.dart                                                    | Dart               |          7 |          0 |          1 |          8 |
| e:\Projects\icarus\lib\const\image_scale_policy.dart                                            | Dart               |          8 |          0 |          2 |         10 |
| e:\Projects\icarus\lib\const\json_converters.dart                                               | Dart               |        126 |          7 |         24 |        157 |
| e:\Projects\icarus\lib\const\line_provider.dart                                                 | Dart               |        280 |         13 |         54 |        347 |
| e:\Projects\icarus\lib\const\line_provider.g.dart                                               | Dart               |         29 |          4 |          7 |         40 |
| e:\Projects\icarus\lib\const\maps.dart                                                          | Dart               |         60 |          0 |          5 |         65 |
| e:\Projects\icarus\lib\const\placed_classes.dart                                                | Dart               |        566 |         19 |        119 |        704 |
| e:\Projects\icarus\lib\const\placed_classes.g.dart                                              | Dart               |        171 |          4 |         18 |        193 |
| e:\Projects\icarus\lib\const\routes.dart                                                        | Dart               |          5 |          0 |          1 |          6 |
| e:\Projects\icarus\lib\const\second_instance_args.dart                                          | Dart               |          7 |          3 |          3 |         13 |
| e:\Projects\icarus\lib\const\settings.dart                                                      | Dart               |        160 |         16 |         19 |        195 |
| e:\Projects\icarus\lib\const\shortcut_info.dart                                                 | Dart               |         85 |          6 |         19 |        110 |
| e:\Projects\icarus\lib\const\transition_data.dart                                               | Dart               |        138 |          6 |         25 |        169 |
| e:\Projects\icarus\lib\const\traversal_speed.dart                                               | Dart               |         16 |          1 |          3 |         20 |
| e:\Projects\icarus\lib\const\update_checker.dart                                                | Dart               |        249 |          0 |         30 |        279 |
| e:\Projects\icarus\lib\const\utilities.dart                                                     | Dart               |        423 |         19 |         48 |        490 |
| e:\Projects\icarus\lib\const\youtube_handler.dart                                               | Dart               |         24 |          1 |          3 |         28 |
| e:\Projects\icarus\lib\hive\hive_adapters.dart                                                  | Dart               |         48 |          1 |          4 |         53 |
| e:\Projects\icarus\lib\hive\hive_adapters.g.dart                                                | Dart               |      1,340 |          4 |        138 |      1,482 |
| e:\Projects\icarus\lib\hive\hive_adapters.g.yaml                                                | YAML               |        492 |          3 |          1 |        496 |
| e:\Projects\icarus\lib\hive\hive_registrar.g.dart                                               | Dart               |         67 |          3 |          4 |         74 |
| e:\Projects\icarus\lib\home_view.dart                                                           | Dart               |         13 |          0 |          4 |         17 |
| e:\Projects\icarus\lib\interactive_map.dart                                                     | Dart               |        343 |          5 |         18 |        366 |
| e:\Projects\icarus\lib\main.dart                                                                | Dart               |        272 |         10 |         46 |        328 |
| e:\Projects\icarus\lib\migrations\ability_scale_migration.dart                                  | Dart               |        269 |          1 |         39 |        309 |
| e:\Projects\icarus\lib\providers\ability_bar_provider.dart                                      | Dart               |         13 |          0 |          4 |         17 |
| e:\Projects\icarus\lib\providers\ability_provider.dart                                          | Dart               |        156 |         16 |         55 |        227 |
| e:\Projects\icarus\lib\providers\action_provider.dart                                           | Dart               |        151 |         12 |         29 |        192 |
